Ze_hex,Zm_hex,XZero,YZero,ZZero,Xe_hex,Ye_hex,Am_hex,ASticky,KillProd
0x19,0x2CD,0,0,0,0x14,0x0F,0x016,1,0
0x0B,0x318,1,0,0,0x15,0x09,0x000,1,1
0x12,0x0E9,0,0,0,0x08,0x0D,0x000,1,0
0x1A,0x27C,0,0,0,0x02,0x1B,0x004,1,0
0x00,0x2E0,0,0,1,0x02,0x07,0x000,1,1
0x09,0x3B3,0,0,1,0x14,0x1B,0x000,1,1
0x04,0x04D,0,0,0,0x0A,0x08,0x013,1,0
0x05,0x27B,0,0,0,0x1B,0x0A,0x000,1,0
0x01,0x1C2,0,0,0,0x1F,0x0A,0x000,1,0
0x1F,0x110,0,0,0,0x0D,0x0C,0x088,0,0
0x12,0x0FA,0,0,0,0x00,0x1C,0x00F,1,0
0x0C,0x11E,0,0,0,0x17,0x16,0x08F,0,0
0x19,0x223,0,0,0,0x1C,0x1D,0x000,1,0
0x0B,0x195,0,0,0,0x09,0x1C,0x000,1,0
0x19,0x21B,0,0,0,0x16,0x1A,0x000,1,0
0x0C,0x30E,0,0,0,0x11,0x04,0x000,1,0
0x1B,0x1E5,0,0,0,0x0F,0x03,0x000,1,0
0x02,0x0A3,0,0,0,0x03,0x06,0x000,1,0
0x06,0x184,0,0,0,0x1E,0x04,0x000,1,0
0x18,0x3C3,0,0,0,0x0E,0x1D,0x000,1,0
0x0D,0x0AD,0,0,0,0x1C,0x1F,0x000,1,0
0x1F,0x31D,0,0,0,0x1A,0x17,0x063,1,0
0x15,0x0B0,0,0,0,0x0C,0x12,0x000,1,0
0x08,0x07E,0,0,0,0x12,0x0C,0x001,1,0
0x11,0x0C3,0,0,0,0x15,0x04,0x000,1,0
0x03,0x109,0,0,0,0x04,0x07,0x000,1,0
0x12,0x1AB,0,0,0,0x15,0x0E,0x003,1,0
0x1D,0x1B1,0,0,0,0x04,0x1B,0x000,1,0
0x00,0x02F,0,0,0,0x0A,0x12,0x000,1,0
0x04,0x151,0,0,0,0x1E,0x1E,0x151,0,0
0x14,0x3A8,0,1,0,0x16,0x01,0x000,1,1
0x15,0x0B2,0,0,0,0x09,0x01,0x000,1,0
0x06,0x1D9,0,0,0,0x12,0x03,0x000,1,0
0x15,0x1EF,0,0,0,0x1F,0x0D,0x000,1,0
0x13,0x1AF,0,0,0,0x16,0x07,0x000,1,0
0x1C,0x14B,0,0,0,0x05,0x01,0x014,1,0
0x07,0x0C0,0,0,0,0x02,0x0C,0x000,1,0
0x1C,0x343,0,0,0,0x1A,0x19,0x1A1,1,0
0x03,0x308,0,0,0,0x17,0x01,0x000,1,0
0x0D,0x253,0,0,0,0x0A,0x1D,0x000,1,0
0x08,0x2D1,1,0,0,0x03,0x1D,0x00B,1,1
0x00,0x12D,0,0,0,0x0B,0x1F,0x000,1,0
0x1D,0x33B,0,0,0,0x0C,0x1C,0x000,1,0
0x19,0x10B,0,0,0,0x0A,0x16,0x000,1,0
0x1C,0x3C4,0,0,0,0x0C,0x0C,0x3C4,0,0
0x0C,0x122,0,0,0,0x17,0x07,0x000,1,0
0x13,0x0AD,0,1,0,0x08,0x02,0x002,1,1
0x08,0x194,0,0,0,0x03,0x01,0x065,0,0
0x00,0x128,0,0,0,0x1A,0x18,0x04A,0,0
0x18,0x3A9,0,0,0,0x14,0x0E,0x00E,1,0
0x11,0x2E7,1,0,0,0x05,0x08,0x000,1,1
0x0C,0x31B,0,0,0,0x0A,0x18,0x000,1,0
0x0F,0x2CC,0,0,0,0x09,0x12,0x000,1,0
0x16,0x069,0,0,0,0x08,0x0F,0x000,1,0
0x0F,0x211,0,0,0,0x1C,0x1D,0x000,1,0
0x01,0x0D0,0,0,0,0x10,0x1A,0x000,1,0
0x01,0x028,0,0,0,0x0D,0x0B,0x00A,0,0
0x07,0x06B,0,0,0,0x0C,0x14,0x000,1,0
0x13,0x35A,0,0,0,0x1B,0x0B,0x000,1,0
0x04,0x2FE,0,0,0,0x02,0x1B,0x005,1,0
0x02,0x012,0,0,0,0x14,0x02,0x000,1,0
0x1C,0x044,0,0,0,0x1A,0x15,0x002,1,0
0x15,0x2B8,0,0,0,0x1E,0x09,0x000,1,0
0x11,0x24F,1,0,0,0x17,0x1F,0x000,1,1
0x01,0x0C1,0,0,0,0x0C,0x1A,0x000,1,0
0x03,0x008,0,0,0,0x0F,0x1A,0x000,1,0
0x11,0x146,0,0,0,0x13,0x10,0x028,1,0
0x1E,0x1D6,0,0,0,0x17,0x0D,0x000,1,0
0x12,0x3F0,0,0,0,0x11,0x17,0x000,1,0
0x15,0x0FF,1,0,0,0x04,0x0B,0x000,1,1
0x13,0x314,0,0,0,0x1A,0x0F,0x000,1,0
0x09,0x118,0,0,0,0x19,0x06,0x000,1,0
0x11,0x195,0,0,0,0x1D,0x0F,0x000,1,0
0x12,0x15D,0,0,0,0x1A,0x0E,0x000,1,0
0x16,0x0EC,0,0,0,0x0F,0x17,0x000,1,0
0x15,0x2A1,1,0,1,0x1A,0x01,0x000,1,1
0x13,0x203,0,0,0,0x09,0x0F,0x000,1,0
0x04,0x2DB,0,0,0,0x01,0x0D,0x000,1,0
0x05,0x02A,0,0,0,0x12,0x12,0x02A,0,0
0x06,0x1CC,0,0,0,0x0A,0x1A,0x000,1,0
0x02,0x32A,0,0,0,0x17,0x1E,0x000,1,0
0x00,0x10D,0,0,0,0x1C,0x19,0x021,1,0
0x01,0x3EB,0,0,0,0x13,0x13,0x3EB,0,0
0x02,0x200,0,0,0,0x18,0x04,0x000,1,0
0x0F,0x2EA,0,0,0,0x0F,0x09,0x00B,1,0
0x11,0x169,0,0,0,0x05,0x16,0x000,1,0
0x0E,0x37A,0,0,0,0x12,0x13,0x000,1,0
0x14,0x047,0,0,0,0x1A,0x07,0x000,1,0
0x04,0x37F,0,0,0,0x1F,0x03,0x000,1,0
0x11,0x2D6,0,0,1,0x0E,0x1D,0x000,1,1
0x0F,0x25A,0,0,1,0x10,0x08,0x002,1,1
0x1E,0x11F,0,0,1,0x09,0x19,0x000,1,1
0x15,0x3CF,0,0,0,0x19,0x06,0x000,1,0
0x19,0x1DD,0,0,0,0x01,0x0F,0x000,1,0
0x05,0x3B5,0,0,0,0x16,0x12,0x03B,1,0
0x19,0x3F5,0,0,0,0x05,0x17,0x000,1,0
0x08,0x1B8,0,0,0,0x0C,0x0F,0x000,1,0
0x10,0x2C1,0,0,0,0x01,0x0E,0x000,1,0
0x13,0x0F0,0,0,0,0x14,0x1E,0x000,1,0
0x17,0x17D,0,0,0,0x10,0x1A,0x000,1,0
0x1D,0x0E2,0,0,0,0x11,0x06,0x000,1,0
0x1B,0x058,0,0,0,0x0F,0x12,0x000,1,0
0x04,0x3D7,0,0,0,0x04,0x1E,0x00F,1,0
0x07,0x3CA,0,1,0,0x06,0x00,0x00F,1,1
0x0B,0x210,0,0,0,0x16,0x0D,0x001,1,0
0x09,0x0D0,0,0,0,0x00,0x0B,0x000,1,0
0x15,0x36B,0,0,0,0x0E,0x0D,0x1B5,1,0
0x0D,0x1C5,1,0,0,0x11,0x1B,0x000,1,1
0x0C,0x240,0,0,0,0x04,0x07,0x000,1,0
0x14,0x3C4,0,0,0,0x17,0x01,0x000,1,0
0x0D,0x343,0,0,0,0x10,0x0E,0x0D0,1,0
0x0A,0x161,0,0,0,0x11,0x08,0x000,1,0
0x1F,0x19F,0,0,0,0x0E,0x0B,0x033,1,0
0x14,0x2FD,0,0,0,0x16,0x16,0x2FD,0,0
0x1E,0x3AE,0,0,0,0x1B,0x17,0x03A,1,0
0x16,0x014,0,0,0,0x17,0x0B,0x000,1,0
0x00,0x34F,0,0,0,0x16,0x04,0x000,1,0
0x04,0x181,0,0,0,0x0A,0x03,0x003,1,0
0x04,0x3F4,0,0,0,0x0A,0x04,0x00F,1,0
0x1E,0x33B,0,0,0,0x0D,0x0F,0x000,1,0
0x14,0x225,1,0,0,0x15,0x02,0x000,1,1
0x06,0x2C6,0,0,0,0x00,0x10,0x000,1,0
0x0E,0x32D,0,0,0,0x18,0x14,0x032,1,0
0x06,0x050,0,0,0,0x0E,0x08,0x001,1,0
0x0B,0x0C0,0,0,0,0x1E,0x13,0x000,1,0
0x1B,0x21D,0,0,0,0x1D,0x12,0x000,1,0
0x05,0x023,0,0,0,0x06,0x08,0x000,1,0
0x09,0x21C,0,0,0,0x0A,0x1A,0x000,1,0
0x15,0x212,0,0,0,0x09,0x17,0x000,1,0
0x03,0x148,0,0,0,0x15,0x06,0x000,1,0
0x16,0x3BE,0,0,0,0x1A,0x1D,0x000,1,0
0x0E,0x3EA,0,1,0,0x1E,0x0B,0x000,1,1
0x0E,0x3E4,0,0,0,0x01,0x0B,0x000,1,0
0x07,0x339,0,0,0,0x1A,0x1B,0x000,1,0
0x18,0x364,0,0,0,0x1A,0x1C,0x000,1,0
0x1F,0x1B1,0,0,0,0x04,0x13,0x000,1,0
0x1E,0x156,0,0,0,0x11,0x0C,0x00A,1,0
0x10,0x157,0,0,0,0x05,0x18,0x000,1,0
0x0D,0x0C6,0,0,0,0x0C,0x08,0x00C,1,0
0x14,0x2DB,0,0,0,0x04,0x1E,0x00B,1,0
0x10,0x16D,0,0,0,0x02,0x1C,0x005,1,0
0x0C,0x359,0,0,0,0x0B,0x1C,0x000,1,0
0x1C,0x14D,0,0,0,0x06,0x16,0x000,1,0
0x1C,0x0E8,0,0,0,0x01,0x12,0x000,1,0
0x0A,0x355,0,0,0,0x13,0x02,0x000,1,0
0x05,0x3FF,0,0,0,0x0D,0x06,0x007,1,0
0x0C,0x3C9,0,0,0,0x0A,0x0F,0x000,1,0
0x15,0x228,0,0,0,0x03,0x18,0x000,1,0
0x1B,0x3A8,0,0,0,0x0B,0x00,0x000,1,0
0x0A,0x29D,0,0,0,0x13,0x1A,0x000,1,0
0x0E,0x2C7,0,0,0,0x05,0x00,0x016,1,0
0x17,0x314,0,0,0,0x1F,0x1B,0x031,1,0
0x0A,0x08C,0,0,0,0x04,0x0A,0x000,1,0
0x19,0x36D,0,0,0,0x05,0x10,0x000,1,0
0x09,0x2FA,0,0,0,0x15,0x14,0x17D,0,0
0x13,0x3C5,0,0,0,0x18,0x18,0x3C5,0,0
0x1F,0x09F,0,0,0,0x05,0x0E,0x000,1,0
0x02,0x1C3,0,0,0,0x0A,0x1C,0x000,1,0
0x02,0x2E8,0,1,0,0x03,0x08,0x000,1,1
0x08,0x02B,0,0,0,0x03,0x19,0x000,1,0
0x0D,0x02E,0,0,0,0x13,0x17,0x000,1,0
0x1B,0x0E8,0,0,0,0x15,0x04,0x000,1,0
0x11,0x0E8,0,0,0,0x00,0x13,0x000,1,0
0x10,0x252,0,0,0,0x0B,0x0C,0x000,1,0
0x0F,0x315,0,0,0,0x08,0x01,0x006,1,0
0x1C,0x03B,0,0,0,0x0A,0x1F,0x000,1,0
0x17,0x25A,0,0,0,0x1D,0x0F,0x000,1,0
0x07,0x3B5,0,0,0,0x07,0x04,0x076,1,0
0x1E,0x2EF,0,0,0,0x00,0x1C,0x02E,1,0
0x07,0x266,0,0,0,0x0C,0x09,0x04C,1,0
0x13,0x133,0,0,0,0x14,0x1D,0x000,1,0
0x1E,0x2C1,0,0,0,0x11,0x13,0x000,1,0
0x13,0x1A0,0,0,0,0x09,0x00,0x000,1,0
0x1C,0x2B7,0,0,0,0x03,0x13,0x000,1,0
0x0C,0x11A,0,0,0,0x1D,0x0B,0x000,1,0
0x06,0x1B9,0,0,0,0x18,0x09,0x000,1,0
0x0A,0x1FE,0,0,0,0x1A,0x15,0x00F,1,0
0x05,0x219,0,0,0,0x03,0x06,0x000,1,0
0x0A,0x131,0,0,0,0x0B,0x07,0x013,1,0
0x1F,0x24F,0,0,0,0x0B,0x10,0x000,1,0
0x1C,0x146,0,0,0,0x0A,0x15,0x000,1,0
0x04,0x10E,0,1,0,0x0D,0x0B,0x043,1,1
0x0C,0x30A,0,0,0,0x10,0x13,0x000,1,0
0x0A,0x396,0,0,0,0x1C,0x11,0x000,1,0
0x0C,0x230,0,0,0,0x07,0x1B,0x000,1,0
0x11,0x045,0,0,1,0x07,0x09,0x000,1,1
0x1D,0x074,0,0,0,0x19,0x1D,0x000,1,0
0x07,0x2AA,0,0,0,0x0F,0x0A,0x015,1,0
0x03,0x2F6,0,0,0,0x0F,0x1E,0x000,1,0
0x1D,0x0E9,0,0,0,0x18,0x1C,0x000,1,0
0x00,0x197,0,0,0,0x09,0x04,0x00C,1,0
0x02,0x048,0,0,0,0x1E,0x1D,0x024,0,0
0x0F,0x127,0,0,0,0x19,0x08,0x000,1,0
0x15,0x18D,0,0,0,0x18,0x0B,0x000,1,0
0x03,0x1FF,0,0,0,0x00,0x1A,0x007,1,0
0x0F,0x32C,0,0,0,0x05,0x02,0x065,1,0
0x07,0x3CA,0,0,0,0x04,0x18,0x000,1,0
0x06,0x380,0,0,0,0x18,0x0D,0x000,1,0
0x12,0x161,0,0,0,0x1E,0x1A,0x016,1,0
0x12,0x0B7,0,0,0,0x13,0x1D,0x000,1,0
0x1E,0x08B,0,0,0,0x16,0x08,0x000,1,0
0x11,0x178,0,0,0,0x06,0x0A,0x000,1,0
0x1D,0x1E1,0,1,0,0x0F,0x12,0x000,1,1
0x11,0x11B,0,0,0,0x00,0x0D,0x000,1,0
0x1B,0x028,0,0,0,0x1E,0x18,0x000,1,0
0x11,0x367,0,0,0,0x0D,0x1C,0x000,1,0
0x19,0x09C,0,0,0,0x0F,0x1E,0x000,1,0
0x09,0x011,0,0,0,0x19,0x1B,0x000,1,0
0x0A,0x2B2,0,0,0,0x07,0x1A,0x000,1,0
0x10,0x06B,0,0,0,0x15,0x14,0x035,1,0
0x12,0x2ED,0,0,0,0x0B,0x01,0x000,1,0
0x12,0x3F5,0,0,0,0x0B,0x1F,0x000,1,0
0x1D,0x01D,0,0,0,0x01,0x17,0x000,1,0
0x14,0x0D6,0,0,0,0x06,0x08,0x000,1,0
0x1F,0x3C9,0,0,0,0x06,0x06,0x3C9,0,0
0x04,0x147,0,0,0,0x02,0x07,0x000,1,0
0x19,0x328,0,0,0,0x17,0x17,0x328,0,0
0x01,0x35D,0,0,0,0x13,0x05,0x000,1,0
0x14,0x1EE,0,0,0,0x1B,0x10,0x000,1,0
0x1A,0x3DB,0,0,0,0x16,0x05,0x000,1,0
0x00,0x0BC,0,0,1,0x1B,0x04,0x000,1,1
0x16,0x36F,0,0,0,0x01,0x08,0x000,1,0
0x1B,0x38C,0,0,0,0x1B,0x11,0x000,1,0
0x1B,0x30A,0,0,0,0x04,0x12,0x000,1,0
0x12,0x09C,0,0,0,0x10,0x0D,0x013,1,0
0x12,0x3AA,0,0,0,0x13,0x12,0x1D5,0,0
0x14,0x1FD,0,0,0,0x0F,0x15,0x000,1,0
0x03,0x074,0,1,0,0x19,0x07,0x000,1,1
0x19,0x1C7,0,0,0,0x0D,0x0E,0x000,1,0
0x0B,0x0C1,0,0,0,0x10,0x19,0x000,1,0
0x17,0x096,1,0,0,0x10,0x0A,0x002,1,1
0x06,0x205,0,0,0,0x0C,0x1C,0x000,1,0
0x06,0x24A,0,0,0,0x13,0x0D,0x009,1,0
0x18,0x2A7,0,0,0,0x05,0x1D,0x002,1,0
0x03,0x00A,0,0,1,0x04,0x18,0x000,1,1
0x0F,0x18D,0,0,0,0x1B,0x15,0x006,1,0
0x15,0x12B,0,0,0,0x0B,0x01,0x000,1,0
0x0B,0x152,0,0,0,0x09,0x08,0x0A9,0,0
0x1D,0x345,0,0,0,0x0E,0x01,0x000,1,0
0x0E,0x13F,0,0,0,0x17,0x11,0x004,1,0
0x11,0x290,0,0,0,0x0F,0x15,0x000,1,0
0x10,0x174,0,0,1,0x17,0x1C,0x000,1,1
0x1B,0x369,0,0,1,0x13,0x09,0x000,1,1
0x14,0x3DA,0,0,0,0x00,0x07,0x000,1,0
0x06,0x156,0,1,0,0x1D,0x0D,0x000,1,1
0x00,0x319,0,0,0,0x15,0x12,0x063,1,0
0x0D,0x367,0,0,0,0x1E,0x15,0x001,1,0
0x0E,0x209,0,0,0,0x0E,0x1A,0x000,1,0
0x01,0x2D8,0,0,0,0x0D,0x13,0x000,1,0
0x13,0x111,0,0,0,0x1F,0x12,0x000,1,0
0x04,0x140,0,0,0,0x16,0x0E,0x001,1,0
0x0D,0x3CD,0,0,0,0x07,0x09,0x000,1,0
0x07,0x345,1,0,0,0x16,0x05,0x000,1,1
0x1F,0x062,0,0,0,0x1D,0x00,0x000,1,0
0x07,0x160,0,0,0,0x00,0x19,0x002,1,0
0x0D,0x07E,0,0,0,0x1F,0x06,0x000,1,0
0x15,0x195,0,0,0,0x0D,0x02,0x000,1,0
0x1B,0x1CB,0,0,0,0x03,0x03,0x1CB,0,0
0x04,0x001,0,0,0,0x07,0x05,0x000,1,0
0x11,0x021,1,0,0,0x19,0x1E,0x000,1,1
0x12,0x222,0,0,0,0x19,0x0B,0x000,1,0
0x1E,0x1C5,0,0,0,0x1E,0x0A,0x000,1,0
0x1A,0x14E,0,0,0,0x1E,0x03,0x000,1,0
0x0D,0x300,0,0,0,0x1A,0x07,0x000,1,0
0x01,0x326,0,0,0,0x09,0x12,0x000,1,0
0x06,0x229,0,0,0,0x1A,0x12,0x002,1,0
0x11,0x3A2,0,0,1,0x0A,0x1F,0x000,1,1
0x02,0x1CF,0,0,0,0x14,0x12,0x073,1,0
0x00,0x1E3,0,0,0,0x1A,0x04,0x000,1,0
0x16,0x3B0,0,0,0,0x1C,0x0E,0x000,1,0
0x13,0x131,0,0,0,0x0C,0x0E,0x000,1,0
0x0E,0x2CB,0,0,0,0x0C,0x00,0x000,1,0
0x05,0x237,0,0,0,0x09,0x01,0x002,1,0
0x03,0x215,0,0,0,0x1D,0x0C,0x000,1,0
0x1D,0x3BC,0,0,0,0x0F,0x05,0x000,1,0
0x03,0x0E1,0,0,0,0x1C,0x14,0x000,1,0
0x10,0x0D8,0,0,0,0x05,0x07,0x000,1,0
0x1D,0x019,0,0,0,0x1A,0x06,0x000,1,0
0x0D,0x13F,0,0,0,0x0D,0x00,0x000,1,0
0x10,0x041,0,0,0,0x02,0x12,0x000,1,0
0x13,0x306,0,0,1,0x1A,0x14,0x00C,1,1
0x11,0x1F7,0,0,0,0x19,0x0D,0x000,1,0
0x0B,0x166,0,0,0,0x0D,0x0E,0x000,1,0
0x1B,0x1C1,0,0,0,0x08,0x0B,0x000,1,0
0x17,0x317,0,0,0,0x04,0x1D,0x006,1,0
0x12,0x24E,0,0,0,0x19,0x02,0x000,1,0
0x14,0x1DE,0,0,0,0x0F,0x1E,0x000,1,0
0x01,0x3C6,0,0,0,0x03,0x01,0x0F1,1,0
0x1F,0x159,0,0,0,0x1E,0x1D,0x0AC,1,0
0x14,0x2DB,0,0,0,0x1C,0x0B,0x000,1,0
0x05,0x20F,0,0,0,0x1F,0x09,0x000,1,0
0x14,0x2FE,0,0,1,0x15,0x0F,0x00B,1,1
0x0F,0x188,0,0,0,0x05,0x1F,0x006,1,0
0x10,0x0F3,0,0,0,0x10,0x10,0x0F3,0,0
0x1B,0x27A,0,0,0,0x08,0x18,0x000,1,0
0x00,0x2D1,0,0,0,0x04,0x0A,0x000,1,0
0x05,0x14D,0,0,0,0x10,0x15,0x000,1,0
0x14,0x127,0,0,0,0x13,0x0F,0x012,1,0
0x0F,0x2A0,0,0,0,0x13,0x13,0x2A0,0,0
0x0C,0x204,0,0,0,0x04,0x14,0x000,1,0
0x1C,0x1C2,0,0,0,0x1D,0x1A,0x038,1,0
0x05,0x1FE,0,0,1,0x05,0x1F,0x007,1,1
0x1F,0x308,0,0,0,0x14,0x09,0x000,1,0
0x16,0x0FF,0,0,0,0x16,0x04,0x000,1,0
0x04,0x24C,0,0,0,0x1C,0x18,0x024,1,0
0x1F,0x222,0,0,0,0x04,0x04,0x222,0,0
0x03,0x094,0,0,0,0x13,0x11,0x025,0,0
0x0F,0x22B,0,0,0,0x16,0x1D,0x000,1,0
0x19,0x3AE,0,0,0,0x04,0x1D,0x007,1,0
0x02,0x25B,0,0,0,0x02,0x0D,0x000,1,0
0x10,0x038,0,0,0,0x1F,0x06,0x000,1,0
0x06,0x3FC,0,1,0,0x0F,0x12,0x000,1,1
0x07,0x19F,0,0,0,0x05,0x11,0x000,1,0
0x1D,0x053,0,0,0,0x09,0x10,0x000,1,0
0x04,0x2ED,0,0,0,0x17,0x03,0x000,1,0
0x07,0x252,1,0,0,0x08,0x0F,0x000,1,1
0x0E,0x2E5,0,0,0,0x1C,0x14,0x002,1,0
0x1A,0x14A,0,0,1,0x14,0x07,0x000,1,1
0x05,0x0C0,0,0,0,0x1A,0x0B,0x000,1,0
0x02,0x3FB,0,0,0,0x05,0x0F,0x000,1,0
0x0E,0x155,0,0,0,0x1A,0x1B,0x000,1,0
0x04,0x33C,0,0,0,0x1C,0x03,0x000,1,0
0x0B,0x0C5,0,0,0,0x12,0x0D,0x006,1,0
0x1F,0x207,0,0,0,0x01,0x11,0x000,1,0
0x15,0x288,0,0,0,0x16,0x05,0x000,1,0
0x04,0x2DB,0,0,0,0x02,0x16,0x000,1,0
0x02,0x1C7,1,0,0,0x1F,0x0B,0x000,1,1
0x00,0x357,0,0,1,0x1C,0x10,0x000,1,1
0x09,0x14E,0,0,0,0x1D,0x1A,0x029,1,0
0x08,0x3ED,0,0,0,0x16,0x04,0x000,1,0
0x1F,0x302,0,0,0,0x07,0x13,0x000,1,0
0x1A,0x29D,0,0,0,0x08,0x16,0x000,1,0
0x01,0x25D,0,0,0,0x1F,0x11,0x000,1,0
0x14,0x1E5,0,1,0,0x01,0x0C,0x000,1,1
0x18,0x1F2,0,0,0,0x08,0x0C,0x000,1,0
0x12,0x394,1,0,0,0x17,0x14,0x072,1,1
0x1C,0x2E7,0,0,0,0x1C,0x0E,0x000,1,0
0x03,0x28D,1,0,0,0x0A,0x03,0x005,1,1
0x11,0x1BD,0,1,0,0x12,0x11,0x0DE,1,1
0x0B,0x2EF,0,1,0,0x08,0x1D,0x000,1,1
0x0D,0x109,0,0,1,0x0D,0x16,0x000,1,1
0x18,0x1E3,0,0,0,0x11,0x15,0x000,1,0
0x0D,0x341,0,0,0,0x03,0x08,0x000,1,0
0x11,0x2CE,0,0,0,0x17,0x14,0x059,1,0
0x05,0x009,0,0,0,0x19,0x1A,0x000,1,0
0x19,0x098,0,0,0,0x08,0x11,0x000,1,0
0x01,0x361,0,0,0,0x1F,0x07,0x000,1,0
0x18,0x2C7,0,0,0,0x13,0x1F,0x000,1,0
0x1D,0x33F,0,0,0,0x0A,0x1A,0x000,1,0
0x19,0x299,0,0,1,0x08,0x06,0x0A6,1,1
0x11,0x149,0,1,0,0x0F,0x1B,0x000,1,1
0x08,0x05B,0,0,0,0x18,0x09,0x000,1,0
0x0E,0x054,0,0,0,0x06,0x0F,0x000,1,0
0x06,0x297,0,0,0,0x04,0x12,0x000,1,0
0x1F,0x2BA,0,0,0,0x1A,0x1D,0x000,1,0
0x17,0x128,0,0,0,0x16,0x18,0x000,1,0
0x1D,0x34F,0,0,0,0x02,0x08,0x000,1,0
0x0E,0x092,0,0,1,0x12,0x10,0x024,1,1
0x19,0x24E,0,0,0,0x14,0x17,0x000,1,0
0x10,0x0E3,0,0,0,0x06,0x01,0x007,1,0
0x02,0x2CA,1,0,0,0x1A,0x04,0x000,1,1
0x0A,0x0A9,0,0,0,0x0D,0x13,0x000,1,0
0x0B,0x244,0,0,1,0x1D,0x1A,0x048,1,1
0x1A,0x1F1,0,0,0,0x1A,0x03,0x000,1,0
0x1B,0x25C,0,0,0,0x10,0x06,0x000,1,0
0x19,0x261,0,0,0,0x14,0x1D,0x000,1,0
0x1B,0x243,0,0,0,0x09,0x07,0x090,1,0
0x12,0x37A,0,0,0,0x1D,0x07,0x000,1,0
0x01,0x148,0,0,0,0x1B,0x1E,0x000,1,0
0x0F,0x120,0,0,1,0x16,0x02,0x000,1,1
0x0F,0x026,0,0,0,0x08,0x1F,0x000,1,0
0x1F,0x352,0,0,0,0x17,0x10,0x006,1,0
0x1B,0x0B0,0,0,0,0x08,0x0B,0x000,1,0
0x1D,0x274,0,0,0,0x0C,0x02,0x000,1,0
0x17,0x2E6,0,0,0,0x12,0x15,0x000,1,0
0x15,0x0B3,0,0,0,0x08,0x19,0x000,1,0
0x10,0x3C5,0,0,0,0x10,0x08,0x003,1,0
0x03,0x12E,0,0,0,0x11,0x0E,0x025,1,0
0x1D,0x304,0,0,0,0x08,0x17,0x000,1,0
0x1F,0x319,0,0,0,0x16,0x00,0x000,1,0
0x09,0x108,1,0,0,0x02,0x00,0x042,0,1
0x04,0x2B7,0,0,0,0x03,0x01,0x0AD,1,0
0x06,0x2C6,1,0,0,0x07,0x14,0x000,1,1
0x0E,0x05C,0,0,0,0x19,0x0B,0x000,1,0
0x01,0x1FC,0,0,0,0x08,0x18,0x000,1,0
0x12,0x19D,0,0,0,0x1B,0x11,0x000,1,0
0x0D,0x386,0,0,0,0x1B,0x13,0x003,1,0
0x04,0x1DB,0,0,0,0x0B,0x08,0x03B,1,0
0x1E,0x20C,0,0,0,0x1D,0x1E,0x000,1,0
0x02,0x0DD,0,0,0,0x13,0x04,0x000,1,0
0x16,0x1DA,0,0,1,0x09,0x0F,0x000,1,1
0x17,0x358,0,1,0,0x13,0x0D,0x00D,1,1
0x06,0x173,0,0,0,0x0B,0x1B,0x000,1,0
0x09,0x3A2,0,0,0,0x1D,0x17,0x00E,1,0
0x1C,0x29C,0,0,0,0x12,0x1C,0x000,1,0
0x14,0x325,0,0,0,0x1B,0x07,0x000,1,0
0x02,0x045,0,0,0,0x1A,0x0B,0x000,1,0
0x09,0x24B,0,0,0,0x0F,0x17,0x000,1,0
0x0F,0x07F,0,0,0,0x00,0x01,0x000,1,0
