X_hex,SgnX,ExpX,ManX,XNaN,XSNaN,XZero,XInf,XExpMax,XSubnorm
0x3A32,0,14,1586,0,0,0,0,0,0
0x1024,0,4,1060,0,0,0,0,0,0
0xAE9B,1,11,1691,0,0,0,0,0,0
0xC8C6,1,18,1222,0,0,0,0,0,0
0xA381,1,8,1921,0,0,0,0,0,0
0x14E5,0,5,1253,0,0,0,0,0,0
0x7B93,0,30,1939,0,0,0,0,0,0
0x3300,0,12,1792,0,0,0,0,0,0
0xF822,1,30,1058,0,0,0,0,0,0
0x4C0A,0,19,1034,0,0,0,0,0,0
0x699A,0,26,1434,0,0,0,0,0,0
0x84AF,1,1,1199,0,0,0,0,0,0
0xB7C0,1,13,1984,0,0,0,0,0,0
0x5117,0,20,1303,0,0,0,0,0,0
0x9176,1,4,1398,0,0,0,0,0,0
0x1376,0,4,1910,0,0,0,0,0,0
0x2EFD,0,11,1789,0,0,0,0,0,0
0x301E,0,12,1054,0,0,0,0,0,0
0x6A26,0,26,1574,0,0,0,0,0,0
0xD1FD,1,20,1533,0,0,0,0,0,0
0x07CA,0,1,1994,0,0,0,0,0,0
0x4D9E,0,19,1438,0,0,0,0,0,0
0xA695,1,9,1685,0,0,0,0,0,0
0x53D1,0,20,2001,0,0,0,0,0,0
0xEA3A,1,26,1594,0,0,0,0,0,0
0xD444,1,21,1092,0,0,0,0,0,0
0xE115,1,24,1301,0,0,0,0,0,0
0x0C94,0,3,1172,0,0,0,0,0,0
0xBE56,1,15,1622,0,0,0,0,0,0
0x0E01,0,3,1537,0,0,0,0,0,0
0xC6E0,1,17,1760,0,0,0,0,0,0
0xB501,1,13,1281,0,0,0,0,0,0
0x08B9,0,2,1209,0,0,0,0,0,0
0xA373,1,8,1907,0,0,0,0,0,0
0xF0C3,1,28,1219,0,0,0,0,0,0
0xE012,1,24,1042,0,0,0,0,0,0
0x176B,0,5,1899,0,0,0,0,0,0
0xA355,1,8,1877,0,0,0,0,0,0
0xA05E,1,8,1118,0,0,0,0,0,0
0xC769,1,17,1897,0,0,0,0,0,0
0x98D0,1,6,1232,0,0,0,0,0,0
0x403C,0,16,1084,0,0,0,0,0,0
0xC26A,1,16,1642,0,0,0,0,0,0
0x1D0A,0,7,1290,0,0,0,0,0,0
0x383B,0,14,1083,0,0,0,0,0,0
0xF8EB,1,30,1259,0,0,0,0,0,0
0x3CC5,0,15,1221,0,0,0,0,0,0
0x315C,0,12,1372,0,0,0,0,0,0
0x5925,0,22,1317,0,0,0,0,0,0
0x1107,0,4,1287,0,0,0,0,0,0
0x1A38,0,6,1592,0,0,0,0,0,0
0x9E21,1,7,1569,0,0,0,0,0,0
0x6ED7,0,27,1751,0,0,0,0,0,0
0x3162,0,12,1378,0,0,0,0,0,0
0xEBBF,1,26,1983,0,0,0,0,0,0
0xFF9F,1,31,1951,1,1,0,0,1,0
0xF02D,1,28,1069,0,0,0,0,0,0
0x1E26,0,7,1574,0,0,0,0,0,0
0xD8C2,1,22,1218,0,0,0,0,0,0
0x70AA,0,28,1194,0,0,0,0,0,0
0x71B9,0,28,1465,0,0,0,0,0,0
0xA8B7,1,10,1207,0,0,0,0,0,0
0x5302,0,20,1794,0,0,0,0,0,0
0xC432,1,17,1074,0,0,0,0,0,0
0x7BBE,0,30,1982,0,0,0,0,0,0
0xF171,1,28,1393,0,0,0,0,0,0
0x5C5F,0,23,1119,0,0,0,0,0,0
0x6ABC,0,26,1724,0,0,0,0,0,0
0x6D81,0,27,1409,0,0,0,0,0,0
0x519B,0,20,1435,0,0,0,0,0,0
0xE930,1,26,1328,0,0,0,0,0,0
0x0766,0,1,1894,0,0,0,0,0,0
0x63CC,0,24,1996,0,0,0,0,0,0
0x257C,0,9,1404,0,0,0,0,0,0
0x23B6,0,8,1974,0,0,0,0,0,0
0x3E9F,0,15,1695,0,0,0,0,0,0
0x305D,0,12,1117,0,0,0,0,0,0
0x87CF,1,1,1999,0,0,0,0,0,0
0x78AF,0,30,1199,0,0,0,0,0,0
0x6D5B,0,27,1371,0,0,0,0,0,0
0x8E24,1,3,1572,0,0,0,0,0,0
0x735D,0,28,1885,0,0,0,0,0,0
0xFECE,1,31,1742,1,1,0,0,1,0
0xBD80,1,15,1408,0,0,0,0,0,0
0xE4BA,1,25,1210,0,0,0,0,0,0
0xCE9D,1,19,1693,0,0,0,0,0,0
0x7F8E,0,31,1934,1,1,0,0,1,0
0xE6B5,1,25,1717,0,0,0,0,0,0
0x3786,0,13,1926,0,0,0,0,0,0
0x0F6C,0,3,1900,0,0,0,0,0,0
0xBC67,1,15,1127,0,0,0,0,0,0
0x7A48,0,30,1608,0,0,0,0,0,0
0xCCA5,1,19,1189,0,0,0,0,0,0
0xFC86,1,31,1158,1,0,0,0,1,0
0x2A32,0,10,1586,0,0,0,0,0,0
0xD7D0,1,21,2000,0,0,0,0,0,0
0xEE5D,1,27,1629,0,0,0,0,0,0
0x38D8,0,14,1240,0,0,0,0,0,0
0xA7CF,1,9,1999,0,0,0,0,0,0
0x7F99,0,31,1945,1,1,0,0,1,0
0xE370,1,24,1904,0,0,0,0,0,0
0x9B81,1,6,1921,0,0,0,0,0,0
0xD969,1,22,1385,0,0,0,0,0,0
0x3FCC,0,15,1996,0,0,0,0,0,0
0x57A8,0,21,1960,0,0,0,0,0,0
0x6F99,0,27,1945,0,0,0,0,0,0
0xC50A,1,17,1290,0,0,0,0,0,0
0x8642,1,1,1602,0,0,0,0,0,0
0x5A1D,0,22,1565,0,0,0,0,0,0
0x02DD,0,0,733,0,0,0,0,0,1
0x8D74,1,3,1396,0,0,0,0,0,0
0x0C29,0,3,1065,0,0,0,0,0,0
0xF568,1,29,1384,0,0,0,0,0,0
0xAA23,1,10,1571,0,0,0,0,0,0
0x673A,0,25,1850,0,0,0,0,0,0
0x9ABB,1,6,1723,0,0,0,0,0,0
0x0E66,0,3,1638,0,0,0,0,0,0
0xCB9F,1,18,1951,0,0,0,0,0,0
0xBBEA,1,14,2026,0,0,0,0,0,0
0x6E44,0,27,1604,0,0,0,0,0,0
0x8038,1,0,56,0,0,0,0,0,1
0x75FD,0,29,1533,0,0,0,0,0,0
0x2F3F,0,11,1855,0,0,0,0,0,0
0x6876,0,26,1142,0,0,0,0,0,0
0x80A6,1,0,166,0,0,0,0,0,1
0x02FE,0,0,766,0,0,0,0,0,1
0x0879,0,2,1145,0,0,0,0,0,0
0x4D7B,0,19,1403,0,0,0,0,0,0
0x4440,0,17,1088,0,0,0,0,0,0
0xA822,1,10,1058,0,0,0,0,0,0
0x6D27,0,27,1319,0,0,0,0,0,0
0x41BE,0,16,1470,0,0,0,0,0,0
0x9CEE,1,7,1262,0,0,0,0,0,0
0x9256,1,4,1622,0,0,0,0,0,0
0x0ED8,0,3,1752,0,0,0,0,0,0
0x6B94,0,26,1940,0,0,0,0,0,0
0xDB83,1,22,1923,0,0,0,0,0,0
0xC961,1,18,1377,0,0,0,0,0,0
0xCD97,1,19,1431,0,0,0,0,0,0
0xE15C,1,24,1372,0,0,0,0,0,0
0x8F59,1,3,1881,0,0,0,0,0,0
0x909F,1,4,1183,0,0,0,0,0,0
0x2571,0,9,1393,0,0,0,0,0,0
0xF45F,1,29,1119,0,0,0,0,0,0
0xF710,1,29,1808,0,0,0,0,0,0
0x513C,0,20,1340,0,0,0,0,0,0
0xD810,1,22,1040,0,0,0,0,0,0
0x1852,0,6,1106,0,0,0,0,0,0
0x3258,0,12,1624,0,0,0,0,0,0
0x3D0C,0,15,1292,0,0,0,0,0,0
0x8860,1,2,1120,0,0,0,0,0,0
0xA122,1,8,1314,0,0,0,0,0,0
0xD350,1,20,1872,0,0,0,0,0,0
0xC8E4,1,18,1252,0,0,0,0,0,0
0xF420,1,29,1056,0,0,0,0,0,0
0x2F76,0,11,1910,0,0,0,0,0,0
0xC78E,1,17,1934,0,0,0,0,0,0
0x3E0A,0,15,1546,0,0,0,0,0,0
0xDC9E,1,23,1182,0,0,0,0,0,0
0x75B2,0,29,1458,0,0,0,0,0,0
0x03BC,0,0,956,0,0,0,0,0,1
0xEAEE,1,26,1774,0,0,0,0,0,0
0x4FA0,0,19,1952,0,0,0,0,0,0
0x0755,0,1,1877,0,0,0,0,0,0
0xB63F,1,13,1599,0,0,0,0,0,0
0x51FB,0,20,1531,0,0,0,0,0,0
0x8A2B,1,2,1579,0,0,0,0,0,0
0x49F4,0,18,1524,0,0,0,0,0,0
0xC647,1,17,1607,0,0,0,0,0,0
0x521F,0,20,1567,0,0,0,0,0,0
0x9FBE,1,7,1982,0,0,0,0,0,0
0xA51F,1,9,1311,0,0,0,0,0,0
0xA1E3,1,8,1507,0,0,0,0,0,0
0xDC1C,1,23,1052,0,0,0,0,0,0
0x1413,0,5,1043,0,0,0,0,0,0
0xB557,1,13,1367,0,0,0,0,0,0
0x7D95,0,31,1429,1,0,0,0,1,0
0xEA64,1,26,1636,0,0,0,0,0,0
0x0DB0,0,3,1456,0,0,0,0,0,0
0xB19C,1,12,1436,0,0,0,0,0,0
0xC8C9,1,18,1225,0,0,0,0,0,0
0xFEE2,1,31,1762,1,1,0,0,1,0
0x4634,0,17,1588,0,0,0,0,0,0
0xBF81,1,15,1921,0,0,0,0,0,0
0x98EB,1,6,1259,0,0,0,0,0,0
0x43BB,0,16,1979,0,0,0,0,0,0
0xFF6F,1,31,1903,1,1,0,0,1,0
0xE721,1,25,1825,0,0,0,0,0,0
0x05B5,0,1,1461,0,0,0,0,0,0
0xEEBB,1,27,1723,0,0,0,0,0,0
0xBC35,1,15,1077,0,0,0,0,0,0
0x7625,0,29,1573,0,0,0,0,0,0
0xD1A4,1,20,1444,0,0,0,0,0,0
0xF18F,1,28,1423,0,0,0,0,0,0
0x736B,0,28,1899,0,0,0,0,0,0
0xAE1B,1,11,1563,0,0,0,0,0,0
0xFBB1,1,30,1969,0,0,0,0,0,0
0x9749,1,5,1865,0,0,0,0,0,0
0x750A,0,29,1290,0,0,0,0,0,0
0xD4B2,1,21,1202,0,0,0,0,0,0
0xA3A7,1,8,1959,0,0,0,0,0,0
0x31E9,0,12,1513,0,0,0,0,0,0
0x4CC5,0,19,1221,0,0,0,0,0,0
0x5F15,0,23,1813,0,0,0,0,0,0
0x17B2,0,5,1970,0,0,0,0,0,0
0x3EF2,0,15,1778,0,0,0,0,0,0
0xC623,1,17,1571,0,0,0,0,0,0
0x4014,0,16,1044,0,0,0,0,0,0
0xBDB3,1,15,1459,0,0,0,0,0,0
0x20D8,0,8,1240,0,0,0,0,0,0
0x669B,0,25,1691,0,0,0,0,0,0
0x6E1D,0,27,1565,0,0,0,0,0,0
0x0096,0,0,150,0,0,0,0,0,1
0x30F8,0,12,1272,0,0,0,0,0,0
0xAC93,1,11,1171,0,0,0,0,0,0
0x858C,1,1,1420,0,0,0,0,0,0
0x7F7D,0,31,1917,1,1,0,0,1,0
0x8DC4,1,3,1476,0,0,0,0,0,0
0x9EFE,1,7,1790,0,0,0,0,0,0
0xB184,1,12,1412,0,0,0,0,0,0
0xA146,1,8,1350,0,0,0,0,0,0
0xC88D,1,18,1165,0,0,0,0,0,0
0x0AF8,0,2,1784,0,0,0,0,0,0
0x3DFB,0,15,1531,0,0,0,0,0,0
0xE058,1,24,1112,0,0,0,0,0,0
0xE169,1,24,1385,0,0,0,0,0,0
0xA18C,1,8,1420,0,0,0,0,0,0
0x78AB,0,30,1195,0,0,0,0,0,0
0x829E,1,0,670,0,0,0,0,0,1
0x32E8,0,12,1768,0,0,0,0,0,0
0x9473,1,5,1139,0,0,0,0,0,0
0x1F25,0,7,1829,0,0,0,0,0,0
0x41E1,0,16,1505,0,0,0,0,0,0
0x482A,0,18,1066,0,0,0,0,0,0
0x64D1,0,25,1233,0,0,0,0,0,0
0x8944,1,2,1348,0,0,0,0,0,0
0x6C07,0,27,1031,0,0,0,0,0,0
0x82AA,1,0,682,0,0,0,0,0,1
0xB786,1,13,1926,0,0,0,0,0,0
0x1825,0,6,1061,0,0,0,0,0,0
0x28C1,0,10,1217,0,0,0,0,0,0
0x485E,0,18,1118,0,0,0,0,0,0
0x7770,0,29,1904,0,0,0,0,0,0
0x16D9,0,5,1753,0,0,0,0,0,0
0x475B,0,17,1883,0,0,0,0,0,0
0x0A12,0,2,1554,0,0,0,0,0,0
0x1252,0,4,1618,0,0,0,0,0,0
0x49B4,0,18,1460,0,0,0,0,0,0
0xC188,1,16,1416,0,0,0,0,0,0
0xD947,1,22,1351,0,0,0,0,0,0
0xD779,1,21,1913,0,0,0,0,0,0
0x0C9F,0,3,1183,0,0,0,0,0,0
0x58AB,0,22,1195,0,0,0,0,0,0
0x4F0E,0,19,1806,0,0,0,0,0,0
0x49DF,0,18,1503,0,0,0,0,0,0
0xFBDE,1,30,2014,0,0,0,0,0,0
0x35A1,0,13,1441,0,0,0,0,0,0
0xB67F,1,13,1663,0,0,0,0,0,0
0x2655,0,9,1621,0,0,0,0,0,0
0x4FD9,0,19,2009,0,0,0,0,0,0
0x0B7B,0,2,1915,0,0,0,0,0,0
0x24CA,0,9,1226,0,0,0,0,0,0
0xB56A,1,13,1386,0,0,0,0,0,0
0x43A8,0,16,1960,0,0,0,0,0,0
0xB8C1,1,14,1217,0,0,0,0,0,0
0xAF23,1,11,1827,0,0,0,0,0,0
0x6C79,0,27,1145,0,0,0,0,0,0
0x96CD,1,5,1741,0,0,0,0,0,0
0x6442,0,25,1090,0,0,0,0,0,0
0xA9BF,1,10,1471,0,0,0,0,0,0
0xCFC0,1,19,1984,0,0,0,0,0,0
0x2437,0,9,1079,0,0,0,0,0,0
0xA9C2,1,10,1474,0,0,0,0,0,0
0x5333,0,20,1843,0,0,0,0,0,0
0x80A9,1,0,169,0,0,0,0,0,1
0xF1EE,1,28,1518,0,0,0,0,0,0
0x56D3,0,21,1747,0,0,0,0,0,0
0x4395,0,16,1941,0,0,0,0,0,0
0xC4F0,1,17,1264,0,0,0,0,0,0
0x0C99,0,3,1177,0,0,0,0,0,0
0xE380,1,24,1920,0,0,0,0,0,0
0x4B1F,0,18,1823,0,0,0,0,0,0
0x8329,1,0,809,0,0,0,0,0,1
0x45CE,0,17,1486,0,0,0,0,0,0
0x4F19,0,19,1817,0,0,0,0,0,0
0x8176,1,0,374,0,0,0,0,0,1
0x82E6,1,0,742,0,0,0,0,0,1
0x9462,1,5,1122,0,0,0,0,0,0
0x012B,0,0,299,0,0,0,0,0,1
0xBCB1,1,15,1201,0,0,0,0,0,0
0xCD5C,1,19,1372,0,0,0,0,0,0
0x679B,0,25,1947,0,0,0,0,0,0
0xC0E1,1,16,1249,0,0,0,0,0,0
0x33A0,0,12,1952,0,0,0,0,0,0
0x37CD,0,13,1997,0,0,0,0,0,0
0x56F6,0,21,1782,0,0,0,0,0,0
0xED87,1,27,1415,0,0,0,0,0,0
0x5E94,0,23,1684,0,0,0,0,0,0
0x2667,0,9,1639,0,0,0,0,0,0
0x37D7,0,13,2007,0,0,0,0,0,0
0x3731,0,13,1841,0,0,0,0,0,0
0xD313,1,20,1811,0,0,0,0,0,0
0x4DDD,0,19,1501,0,0,0,0,0,0
0x1743,0,5,1859,0,0,0,0,0,0
0xE5FB,1,25,1531,0,0,0,0,0,0
0x3DFC,0,15,1532,0,0,0,0,0,0
0xCEEF,1,19,1775,0,0,0,0,0,0
0x8425,1,1,1061,0,0,0,0,0,0
0x923B,1,4,1595,0,0,0,0,0,0
0x43C3,0,16,1987,0,0,0,0,0,0
0x7348,0,28,1864,0,0,0,0,0,0
0x5A46,0,22,1606,0,0,0,0,0,0
0x3220,0,12,1568,0,0,0,0,0,0
0xDA8C,1,22,1676,0,0,0,0,0,0
0x4B69,0,18,1897,0,0,0,0,0,0
0x8E92,1,3,1682,0,0,0,0,0,0
0x7CE3,0,31,1251,1,0,0,0,1,0
0x3D4D,0,15,1357,0,0,0,0,0,0
0xA0C8,1,8,1224,0,0,0,0,0,0
0xCACE,1,18,1742,0,0,0,0,0,0
0x86D4,1,1,1748,0,0,0,0,0,0
0x6D4F,0,27,1359,0,0,0,0,0,0
0xBF40,1,15,1856,0,0,0,0,0,0
0xC7F0,1,17,2032,0,0,0,0,0,0
0x9E96,1,7,1686,0,0,0,0,0,0
0x02AE,0,0,686,0,0,0,0,0,1
0x9555,1,5,1365,0,0,0,0,0,0
0xDDD6,1,23,1494,0,0,0,0,0,0
0xE6DD,1,25,1757,0,0,0,0,0,0
0xD641,1,21,1601,0,0,0,0,0,0
0xF884,1,30,1156,0,0,0,0,0,0
0x35D5,0,13,1493,0,0,0,0,0,0
0xF2EA,1,28,1770,0,0,0,0,0,0
0xF2F8,1,28,1784,0,0,0,0,0,0
0x70B4,0,28,1204,0,0,0,0,0,0
0x1792,0,5,1938,0,0,0,0,0,0
0xB356,1,12,1878,0,0,0,0,0,0
0x596A,0,22,1386,0,0,0,0,0,0
0x611C,0,24,1308,0,0,0,0,0,0
0x7006,0,28,1030,0,0,0,0,0,0
0x276F,0,9,1903,0,0,0,0,0,0
0x6AD4,0,26,1748,0,0,0,0,0,0
0x5AD8,0,22,1752,0,0,0,0,0,0
0x4397,0,16,1943,0,0,0,0,0,0
0x59C9,0,22,1481,0,0,0,0,0,0
0x0262,0,0,610,0,0,0,0,0,1
0x3436,0,13,1078,0,0,0,0,0,0
0x420B,0,16,1547,0,0,0,0,0,0
0x075C,0,1,1884,0,0,0,0,0,0
0x1E0D,0,7,1549,0,0,0,0,0,0
0x85DB,1,1,1499,0,0,0,0,0,0
0x3E7A,0,15,1658,0,0,0,0,0,0
0x98E0,1,6,1248,0,0,0,0,0,0
0x06A4,0,1,1700,0,0,0,0,0,0
0xF68B,1,29,1675,0,0,0,0,0,0
